Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.447412014007568,6.4621740257756315,6.398305598620858,6.429938538443087,493729600
2010-01-05,6.458558082580566,6.4950113965004,6.424514556071699,6.4651861041058405,601904800
2010-01-06,6.3558268547058105,6.484166651669908,6.3491988324585265,6.458558786130939,552160000
2010-01-07,6.344078540802002,6.386859021332413,6.2979848526958895,6.379327175775168,477131200
2010-01-08,6.386253833770752,6.386856783438807,6.2982847241288615,6.335641056064525,447610800
2010-01-11,6.329917907714844,6.41698360184954,6.279907273249689,6.410958127279132,462229600
2010-01-12,6.2579145431518555,6.319674855517163,6.218750163570416,6.302200576324454,594459600
2010-01-13,6.346185684204102,6.354621348870986,6.148856614796813,6.262434400653872,605892000
2010-01-14,6.3094329833984375,6.340463783509292,6.297081159456767,6.329919602422704,432894000
2010-01-15,6.203986167907715,6.374804704104754,6.202178526042027,6.354619369937897,594067600
2010-01-19,6.4784417152404785,6.482960821085771,6.2434542448044095,6.276291873909706,730007600
2010-01-20,6.378724098205566,6.493807463624537,6.311541252356983,6.474526344050393,612152800
2010-01-21,6.268460273742676,6.426324535052546,6.242551530101178,6.3892690624817625,608154400
2010-01-22,5.957552909851074,6.2512880205706045,5.939778560501138,6.229597111904543,881767600
2010-01-25,6.117825508117676,6.166931515970451,6.031060687168825,6.100954581884138,1065699600
2010-01-26,6.204289436340332,6.438373904160737,6.103063872722992,6.2045907100814786,1867110000
2010-01-27,6.262735843658447,6.344077346961239,6.01117747843685,6.231705048036775,1722568400
2010-01-28,6.0039472579956055,6.191034242454007,5.986172910449639,6.173862442433983,1173502400
2010-01-29,5.786130905151367,6.091615628430458,5.731601566895226,6.05787377524489,1245952400
2010-02-01,5.866568565368652,5.904829521788327,5.763234097005507,5.795469579269456,749876400
2010-02-02,5.900612831115723,5.914471424354279,5.825898948307284,5.902119602180668,698342400
2010-02-03,6.002139568328857,6.031362720873122,5.857230107353946,5.879825237164845,615328000
2010-02-04,5.785830974578857,5.976231175493704,5.771369833232195,5.926823080361976,757652000
2010-02-05,5.888562202453613,5.904830986710173,5.749678206585321,5.803304135406081,850306800
2010-02-08,5.848190784454346,5.961467275741998,5.844575500261952,5.895489948169045,478270800
2010-02-09,5.910555839538574,5.950021502692347,5.867173214545841,5.917484735065164,632886800
2010-02-10,5.8783183097839355,5.922906419882267,5.852409573302951,5.901515582677106,370361600
2010-02-11,5.985269546508789,6.017806715347872,5.846385539710414,5.871089589587284,550345600
2010-02-12,6.036787033081055,6.074746731154206,5.889768622063707,5.96839908044259,655468800
2010-02-16,6.127767086029053,6.1365036211025465,6.071128837080451,6.083781930257564,543737600
2010-02-17,6.102158546447754,6.155181099378267,6.051243702342577,6.151565815614503,436396800
2010-02-18,6.113606929779053,6.142528801388231,6.053052125622407,6.074441752850217,422825200
2010-02-19,6.075648784637451,6.121742865750914,6.058777856201289,6.081373388349714,415469600
2010-02-22,6.037990570068359,6.100654307944201,6.000935102814098,6.0958343298265785,390563600
2010-02-23,5.936763763427734,6.0654048217272,5.896093019353718,6.025336222837522,575094800
2010-02-24,6.045221328735352,6.068719877651232,5.960263334738986,5.972013011431588,460566400
2010-02-25,6.0855889320373535,6.11149766306561,5.931641707507066,5.946403715032636,665126000
2010-02-26,6.164519786834717,6.1810894341268,6.085588107535124,6.09703610315536,507460800
2010-03-01,6.296176433563232,6.3115405901733235,6.1895275384207835,6.198565348585774,550093600
2010-03-02,6.291957378387451,6.351607959694496,6.258516401242074,6.324493729999378,566546400
2010-03-03,6.3064188957214355,6.322687678973279,6.264543451474793,6.294670023397767,372052800
2010-03-04,6.347991466522217,6.354318213168495,6.2853277540626165,6.304910943535609,366041200
2010-03-05,6.596238136291504,6.6188332660537235,6.466090687632098,6.475430174190809,899620400
2010-03-08,6.600154399871826,6.630581841562283,6.57514908114871,6.628172053825092,429889600
2010-03-09,6.718853950500488,6.778504547894001,6.564304126933652,6.5769572230118705,920259200
2010-03-10,6.773684978485107,6.792966502032056,6.724277683334934,6.743257530841741,596218000
2010-03-11,6.793566703796387,6.793566703796387,6.7278910402892,6.745666190776078,405700400
2010-03-12,6.826708793640137,6.860751529092189,6.801100920801567,6.84990567141408,416323600
2010-03-15,6.743557929992676,6.7935673640326355,6.635402659048095,6.789952883305829,493502800
2010-03-16,6.76193380355835,6.777900908527385,6.703488310657031,6.753799815330724,446908000
2010-03-17,6.751992702484131,6.822187473767496,6.726385238675264,6.775491250081855,450956800
2010-03-18,6.767959117889404,6.778503295634211,6.706500486998951,6.751388661401456,342109600
2010-03-19,6.695655345916748,6.785734179314842,6.66492582792976,6.7721772638046325,559445600
2010-03-22,6.77097225189209,6.808631066076942,6.632389553345399,6.642030312748784,456419600
2010-03-23,6.879729270935059,6.892382767684493,6.751389074455668,6.797784424734351,602431200
2010-03-24,6.910158634185791,6.9351639557654945,6.8541225154084575,6.858039476794797,597780400
2010-03-25,6.828212261199951,6.958360092290846,6.816161312635276,6.956853321485663,542284400
2010-03-26,6.95625114440918,6.9878836757135705,6.885453032713796,6.89750398052641,640875200
2010-03-29,7.001138210296631,7.045725908253553,6.9779413447921135,7.019516306098631,540744400
2010-03-30,7.105378150939941,7.154485367620817,7.057175157700727,7.127973278881159,527310000
2010-03-31,7.079771041870117,7.12827571626068,7.063503062875093,7.094533858729858,430659600
2010-04-01,7.108994007110596,7.1921431514325525,7.011986269833654,7.15237662406558,603145200
2010-04-05,7.184913158416748,7.185515705917473,7.072841736689903,7.0791688876821555,684507600
2010-04-06,7.216548442840576,7.237636806574135,7.140026498585604,7.1761785538927825,447017200
2010-04-07,7.248478889465332,7.288246210039173,7.190032601068295,7.216845555870272,628502000
2010-04-08,7.228896141052246,7.2767974462074445,7.171354078793394,7.243658148132689,572989200
2010-04-09,7.284331321716309,7.287344863788134,7.244263118306954,7.273486270816605,334182800
2010-04-12,7.2993950843811035,7.322893633451657,7.2849339437411755,7.296683218276453,333026400
2010-04-13,7.3036112785339355,7.3147588087388415,7.26384395078485,7.286439882688969,306210800
2010-04-14,7.40182638168335,7.405441667151619,7.353021636800515,7.389474558568129,404076400
2010-04-15,7.499135494232178,7.502449103539689,7.3964031475975975,7.404537137330117,376784800
2010-04-16,7.453341960906982,7.566015928992251,7.367480954097467,7.488589782638069,750545600
2010-04-19,7.4434003829956055,7.468104025983171,7.283728513651623,7.44219528799771,566924400
2010-04-20,7.368685722351074,7.509076064494315,7.319579310421259,7.487686031618559,738326400
2010-04-21,7.809438705444336,7.840469496082721,7.704296189309844,7.796785209321369,982391200
2010-04-22,8.027857780456543,8.036293445441242,7.71845647775669,7.779915518175929,793424800
2010-04-23,8.15921401977539,8.199884789696858,8.043828931361828,8.073653840849692,796955600
2010-04-26,8.119142532348633,8.208317157752129,8.079676069433583,8.190844082994902,479068800
2010-04-27,7.894395351409912,8.06913008219505,7.848603356079456,8.051957882828832,709343600
2010-04-28,7.881138801574707,7.9534420670908705,7.724781391013753,7.930847749130915,758402400
2010-04-29,8.093232154846191,8.134203771669236,7.8934921038397095,7.923919542738158,558840800
2010-04-30,7.8657755851745605,8.151375825286923,7.863064523988255,8.113416141863476,542463600
2010-05-03,8.024247169494629,8.070341677775902,7.919707128714095,7.9486294255085435,454342000
2010-05-04,7.793170928955078,7.932055314845136,7.735027105213384,7.920005169073001,723819600
2010-05-05,7.71212911605835,7.776901756960516,7.493409229562226,7.622954511366559,883103200
2010-05-06,7.418697357177734,7.78021703745939,6.002742393392718,7.647057246991396,1285860800
2010-05-07,7.105679035186768,7.4283363686879325,6.784830148572169,7.3421744935372555,1676018400
2010-05-10,7.6518754959106445,7.671759561581761,7.4873840658865864,7.539202341651189,984306400
2010-05-11,7.728099346160889,7.8296258012146565,7.546736540735173,7.5871056210347945,848906800
2010-05-12,7.895900726318359,7.927232382388837,7.793771771547534,7.810038940197267,654379600
2010-05-13,7.78353214263916,7.983573119885688,7.724483282053818,7.929947187723743,599712400
2010-05-14,7.646755695343018,7.726892911734475,7.516608640503786,7.687125577318183,759362800
2010-05-17,7.6588029861450195,7.717851814224034,7.462678274047157,7.6732641206465715,762834800
2010-05-18,7.6027703285217285,7.789254348785975,7.5395036476638655,7.741955578364352,782678400
2010-05-19,7.481661796569824,7.619641971703292,7.376520061643147,7.516608751028992,1025726800
2010-05-20,7.162920951843262,7.346392230231454,7.1162239255718065,7.287041707203514,1282915200
2010-05-21,7.3003010749816895,7.365977162346609,6.969810514599009,7.014096561824462,1223891200
2010-05-24,7.4340596199035645,7.558784524103873,7.418996738671324,7.449725853033059,754238800
2010-05-25,7.387664794921875,7.434059336173202,7.144843821966657,7.210820751647867,1048006400
2010-05-26,7.3542256355285645,7.5958423779161,7.343379779554333,7.534082460322438,850654000
2010-05-27,7.632594585418701,7.648863366003005,7.504857748337255,7.549746325097556,666282400
2010-05-28,7.738942623138428,7.814861994455536,7.632595007207469,7.814561122958985,815614800
2010-06-01,7.857943058013916,8.011890317014029,7.801606076080032,7.823598656575655,876472800
2010-06-02,7.951937198638916,7.977544254164704,7.84287773784709,7.9697111386592345,688548000
2010-06-03,7.92693567276001,8.000143199168006,7.845291675000702,7.988995665696554,650106800
2010-06-04,7.711228847503662,7.8901806774156915,7.671160634435253,7.779013448727269,758304400
2010-06-07,7.559990406036377,7.807330117485726,7.548240327731349,7.781421379851073,886942000
2010-06-08,7.511484622955322,7.646151137140094,7.400618326348757,7.629279811703213,1000770400
2010-06-09,7.326807975769043,7.588911258145913,7.305418750573189,7.57595608729613,854630000
